Country Name,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,Stringency Index,Government Response Index,Containment Health Index,Economic Support Index
Australia,20200101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200125,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,5.56,11.46,13.1,0
Australia,20200126,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,5.56,11.46,13.1,0
Australia,20200127,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,5.56,11.46,13.1,0
Australia,20200128,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,5.56,11.46,13.1,0
Australia,20200129,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,5.56,11.46,13.1,0
Australia,20200130,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,5.56,11.46,13.1,0
Australia,20200131,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,5.56,11.46,13.1,0
Australia,20200201,0,0,0,0,0,0,0,3,0,0,0,0,1,1,2,0,0,0,0,0,13.89,16.15,18.45,0
Australia,20200202,0,0,0,0,0,0,0,3,0,0,0,0,1,1,2,0,0,0,0,0,13.89,16.15,18.45,0
Australia,20200203,0,0,0,0,0,0,0,3,0,0,0,0,2,1,2,0,0,0,0,0,19.44,19.27,22.02,0
Australia,20200204,0,0,0,0,0,0,0,3,0,0,0,0,2,1,2,0,0,0,0,0,19.44,19.27,22.02,0
